# x   |  y    | demand	| numItems | h - w (for each item)
40.0	40.0	0.0	0
22.0	22.0	18.0	2    7    4   16    2
36.0	26.0	26.0	4    5    6    7    4   16    3    4    2
21.0	45.0	11.0	5    5   11    6    7    9    5    8    5   17    2
45.0	35.0	30.0	2    4    5   22    3
55.0	20.0	21.0	2    6    5    7    2
33.0	34.0	19.0	2    7   10    6    2
50.0	50.0	15.0	3   11    4    7    3    4    2
55.0	45.0	16.0	4    6   11   10    4    9    3   22    2
26.0	59.0	29.0	5    8    8    7    4    4    3    4    3   14    2
40.0	66.0	26.0	2    6   11    6    4
55.0	65.0	37.0	4   12    6   17    4    6    4   12    3
35.0	51.0	16.0	5    7    9    4    6   19    4   15    4    6    3
62.0	35.0	12.0	5    8   12    5   11   10    5   13    4   23    2
62.0	57.0	31.0	5    6   11    6    9   5    9    6    6    5    3
62.0	24.0	8.0	4    5   10    5    4   15    3   12    3
21.0	36.0	19.0	3    5   10    4    6   10    5
33.0	44.0	20.0	3    8    9   20    4    6    3
9.0	56.0	13.0	1    4   12
62.0	48.0	15.0	2   11    3    8    2
66.0	14.0	22.0	4   10    6   12    5    5    4   10    3
44.0	13.0	28.0	4    8   10    7    7    7    5    8    2
26.0	13.0	12.0	5   17    4   10    4    7    2    7    2    5    2
11.0	28.0	6.0	4    7    6   14    4    5    3    5    3
7.0	43.0	27.0	5   10    5    8    5   21    4   17    4   23    2
17.0	64.0	14.0	4    7    7    6    5    9    4    5    4
41.0	46.0	18.0	3    7    6    8    4   19    2
55.0	34.0	17.0	2   15    3   10    2
35.0	16.0	29.0	4    7    8    8    6    5    5   24    3
52.0	26.0	13.0	1   24    3
43.0	26.0	22.0	2   17    4   16    3
