#	x	|	y	|	demand	|	numItems	|	l	-	w	(for	each	item)
0.0	-15.0	0.0	0											
-1.0	-14.0	300.0	1	6	8									
1.0	-14.0	300.0	1	12	6									
-2.0	-13.0	180.0	1	9	7									
0.0	-13.0	300.0	2	8	14	11	5							
2.0	-13.0	180.0	1	19	2									
-3.0	-12.0	128.0	2	30	3	29	3							
-1.0	-12.0	180.0	2	6	12	19	6							
1.0	-12.0	180.0	1	28	4									
3.0	-12.0	128.0	2	4	12	8	9							
-4.0	-11.0	100.0	2	5	13	22	3							
-2.0	-11.0	128.0	2	27	3	22	3							
0.0	-11.0	180.0	2	4	14	6	11							
2.0	-11.0	128.0	1	11	5									
4.0	-11.0	100.0	2	4	15	6	13							
-5.0	-10.0	81.0	2	8	16	36	3							
-3.0	-10.0	100.0	1	5	11									
-1.0	-10.0	128.0	1	8	12									
1.0	-10.0	128.0	2	14	6	18	3							
3.0	-10.0	100.0	1	6	17									
5.0	-10.0	81.0	1	14	6									
-6.0	-9.0	69.0	2	7	15	17	6							
-4.0	-9.0	81.0	1	29	4									
-2.0	-9.0	100.0	2	5	8	30	2							
0.0	-9.0	128.0	2	10	6	20	2							
2.0	-9.0	100.0	2	8	16	27	4							
4.0	-9.0	81.0	1	5	16									
6.0	-9.0	69.0	1	5	9									
-7.0	-8.0	60.0	1	19	9									
-5.0	-8.0	69.0	1	6	9									
-3.0	-8.0	81.0	2	5	17	16	8							
-1.0	-8.0	100.0	2	7	15	30	3							
1.0	-8.0	100.0	2	8	15	18	3							
3.0	-8.0	81.0	1	18	9									
5.0	-8.0	69.0	2	8	13	8	9							
7.0	-8.0	60.0	1	15	6									
-8.0	-7.0	52.0	2	8	13	14	7							
-6.0	-7.0	60.0	1	14	9									
-4.0	-7.0	69.0	1	32	3									
-2.0	-7.0	81.0	1	19	3									
0.0	-7.0	100.0	2	4	15	10	9							
2.0	-7.0	81.0	2	6	10	19	2							
4.0	-7.0	69.0	2	8	17	23	4							
6.0	-7.0	60.0	2	17	8	15	7							
8.0	-7.0	52.0	1	6	12									
-9.0	-6.0	47.0	1	36	2									
-7.0	-6.0	52.0	2	18	9	21	3							
-5.0	-6.0	60.0	1	25	3									
-3.0	-6.0	69.0	2	7	14	12	7							
-1.0	-6.0	81.0	1	27	4									
1.0	-6.0	81.0	2	4	12	7	9							
3.0	-6.0	69.0	1	9	5									
5.0	-6.0	60.0	1	20	7									
7.0	-6.0	52.0	2	19	4	18	3							
