#	x	|	y	|	demand	|	numItems	|	l	-	w	(for	each	item)
0.0	-15.0	0.0	0											
-1.0	-14.0	300.0	3	8	14	10	7	21	3					
1.0	-14.0	300.0	2	5	12	30	4							
-2.0	-13.0	180.0	3	8	4	24	3	16	3					
0.0	-13.0	300.0	3	6	8	11	5	25	4					
2.0	-13.0	180.0	3	13	4	24	2	24	2					
-3.0	-12.0	128.0	1	26	3									
-1.0	-12.0	180.0	2	7	15	12	3							
1.0	-12.0	180.0	2	7	14	7	13							
3.0	-12.0	128.0	3	10	8	11	7	20	2					
-4.0	-11.0	100.0	2	13	5	16	3							
-2.0	-11.0	128.0	2	6	14	15	5							
0.0	-11.0	180.0	3	7	13	8	11	14	4					
2.0	-11.0	128.0	1	15	3									
4.0	-11.0	100.0	2	5	16	12	5							
-5.0	-10.0	81.0	3	8	15	4	8	13	5					
-3.0	-10.0	100.0	1	5	8									
-1.0	-10.0	128.0	3	9	7	14	5	13	2					
1.0	-10.0	128.0	1	14	3									
3.0	-10.0	100.0	2	6	9	17	4							
5.0	-10.0	81.0	3	5	15	7	14	24	3					
-6.0	-9.0	69.0	2	7	15	28	4							
-4.0	-9.0	81.0	2	11	8	7	8							
-2.0	-9.0	100.0	2	6	8	8	7							
0.0	-9.0	128.0	3	10	7	9	5	31	2					
2.0	-9.0	100.0	1	11	8									
4.0	-9.0	81.0	1	15	5									
6.0	-9.0	69.0	2	8	14	31	4							
-7.0	-8.0	60.0	2	14	7	10	6							
-5.0	-8.0	69.0	2	15	3	29	2							
-3.0	-8.0	81.0	1	11	8									
-1.0	-8.0	100.0	1	27	3									
1.0	-8.0	100.0	1	8	7									
3.0	-8.0	81.0	2	5	6	14	3							
5.0	-8.0	69.0	3	6	16	5	16	15	7					
7.0	-8.0	60.0	3	10	6	4	6	23	3					
-8.0	-7.0	52.0	2	26	4	15	3							
-6.0	-7.0	60.0	1	7	16									
-4.0	-7.0	69.0	3	6	14	14	7	20	3					
-2.0	-7.0	81.0	2	29	4	13	3							
0.0	-7.0	100.0	2	11	4	20	3							
2.0	-7.0	81.0	1	7	7									
4.0	-7.0	69.0	1	8	6									
6.0	-7.0	60.0	1	23	2									
8.0	-7.0	52.0	3	9	6	13	3	28	2					
-9.0	-6.0	47.0	1	14	2									
-7.0	-6.0	52.0	2	26	2	25	2							
-5.0	-6.0	60.0	1	11	5									
-3.0	-6.0	69.0	3	4	9	12	4	19	3					
-1.0	-6.0	81.0	1	4	10									
1.0	-6.0	81.0	3	14	7	21	4	29	3					
3.0	-6.0	69.0	2	28	2	24	2							
5.0	-6.0	60.0	2	10	7	16	6							
7.0	-6.0	52.0	3	9	7	16	4	14	4					
9.0	-6.0	47.0	2	7	13	7	11							
-10.0	-5.0	42.0	2	7	12	30	3							
-8.0	-5.0	47.0	2	12	7	28	3							
-6.0	-5.0	52.0	3	4	15	7	14	11	6					
-4.0	-5.0	60.0	3	12	5	11	5	25	2					
-2.0	-5.0	69.0	1	4	14									
0.0	-5.0	81.0	1	21	2									
2.0	-5.0	69.0	3	7	12	5	8	12	5					
4.0	-5.0	60.0	2	7	12	9	6							
6.0	-5.0	52.0	3	10	7	8	6	22	2					
8.0	-5.0	47.0	2	6	15	10	7							
10.0	-5.0	42.0	1	13	4									
-11.0	-4.0	39.0	1	32	3									
-9.0	-4.0	42.0	3	5	16	6	8	24	3					
-7.0	-4.0	47.0	1	11	7									
-5.0	-4.0	52.0	1	21	2									
-3.0	-4.0	60.0	2	4	12	19	4							
-1.0	-4.0	69.0	3	7	12	12	5	24	4					
1.0	-4.0	69.0	3	12	7	10	5	25	2					
3.0	-4.0	60.0	3	7	15	6	12	26	3					
5.0	-4.0	52.0	3	21	4	28	3	12	2					
7.0	-4.0	47.0	2	5	9	4	6							
9.0	-4.0	42.0	1	6	15									
11.0	-4.0	39.0	3	6	12	9	7	32	4					
-12.0	-3.0	36.0	3	8	11	14	7	19	3					
-10.0	-3.0	39.0	2	8	13	7	8							
-8.0	-3.0	42.0	2	12	7	6	6							
-6.0	-3.0	47.0	2	8	15	4	15							
-4.0	-3.0	52.0	2	5	11	23	2							
-2.0	-3.0	60.0	1	13	5									
0.0	-3.0	69.0	2	6	13	7	10							
2.0	-3.0	60.0	2	7	13	11	6							
4.0	-3.0	52.0	2	6	8	15	7							
6.0	-3.0	47.0	2	13	6	12	6							
8.0	-3.0	42.0	1	7	16									
10.0	-3.0	39.0	3	6	14	6	12	6	7					
12.0	-3.0	36.0	2	6	8	4	8							
