# x   |  y    | demand	| numItems | h - w (for each item)
292.0	495.0	0.0	0
298.0	427.0	700.0	1    8   13
309.0	445.0	400.0	1    4    5
307.0	464.0	400.0	2    8   11    5    7
336.0	475.0	1200.0	2    7    9   15    8
320.0	439.0	40.0	4   27    3   25    3   20    3    8    3
321.0	437.0	80.0	2   12    8   15    7
322.0	437.0	2000.0	1   30    3
323.0	433.0	900.0	1   15    4
324.0	433.0	600.0	2    7   13    5   12
323.0	429.0	750.0	1    5    6
314.0	435.0	1500.0	1   14    2
311.0	442.0	150.0	3    4   10    4    6   30    2
304.0	427.0	250.0	3    7    5    7    5    5    4
293.0	421.0	1600.0	2   12    6    8    5
296.0	418.0	450.0	4    6    7    9    6    5    5   16    3
261.0	384.0	700.0	2    5    7   13    2
297.0	410.0	550.0	3    5   10    6    7   23    2
315.0	407.0	650.0	1    4    6
314.0	406.0	200.0	4    5   10   13    4    7    4   12    3
321.0	391.0	400.0	2   19    4   10    3
321.0	398.0	300.0	2    4    8    6    5
314.0	394.0	1300.0	1    6   13
313.0	378.0	700.0	2   11    7    7    4
304.0	382.0	750.0	1    8   10
295.0	402.0	1400.0	1   13    3
283.0	406.0	4000.0	1    6   10
279.0	399.0	600.0	3    6    5   14    4   24    3
271.0	401.0	1000.0	4    4   10    8    7    9    5   26    2
264.0	414.0	500.0	2    4    6   31    3
277.0	439.0	2500.0	1    6    6
290.0	434.0	1700.0	1   23    4
319.0	433.0	1100.0	4    6   12    6    8    4    3   23    2
