# x   |  y    | demand	| numItems | l - w (for each item)
292.0	495.0	0.0	0
298.0	427.0	700.0	1	1	1
309.0	445.0	400.0	1	1	1
307.0	464.0	400.0	1	1	1
336.0	475.0	1200.0	1	1	1
320.0	439.0	40.0	1	1	1
321.0	437.0	80.0	1	1	1
322.0	437.0	2000.0	1	1	1
323.0	433.0	900.0	1	1	1
324.0	433.0	600.0	1	1	1
323.0	429.0	750.0	1	1	1
314.0	435.0	1500.0	1	1	1
311.0	442.0	150.0	1	1	1
304.0	427.0	250.0	1	1	1
293.0	421.0	1600.0	1	1	1
296.0	418.0	450.0	1	1	1
261.0	384.0	700.0	1	1	1
297.0	410.0	550.0	1	1	1
315.0	407.0	650.0	1	1	1
314.0	406.0	200.0	1	1	1
321.0	391.0	400.0	1	1	1
321.0	398.0	300.0	1	1	1
314.0	394.0	1300.0	1	1	1
313.0	378.0	700.0	1	1	1
304.0	382.0	750.0	1	1	1
295.0	402.0	1400.0	1	1	1
283.0	406.0	4000.0	1	1	1
279.0	399.0	600.0	1	1	1
271.0	401.0	1000.0	1	1	1
264.0	414.0	500.0	1	1	1
277.0	439.0	2500.0	1	1	1
290.0	434.0	1700.0	1	1	1
319.0	433.0	1100.0	1	1	1
